profile,injection_number,gold_class,proposal_key,cohort_keys,neo4j_same_key_count,neo4j_neighbor_count,neo4j_inbound_deps,lab_classes,lab_findings_n,coarse_agreement,log_async_detected
T_sem_nli,1,constraint_violation,research.p3.ph2.team_fact.1,research.p3.ph2.team_fact.1;research.p3.ph2.team_cap.1,3,0,0,temporal_invalidation,3,partial,True
T_sem_nli,2,dependency_impact,stack.secrets,stack.secrets,47,0,2,temporal_invalidation,4,partial,True
T_sem_nli,3,semantic_contradiction,research.p3.sem.3.events,research.p3.sem.3.queue;research.p3.sem.3.events,3,1,0,semantic_contradiction;temporal_invalidation,4,match,True
T_sem_nli,4,temporal_invalidation,research.p3.tmpov.4,research.p3.tmpov.4;research.p3.tmpov.4,15,0,0,temporal_invalidation,2,match,True
T_sem_nli,5,constraint_violation,research.p3.ph2.team_fact.5,research.p3.ph2.team_fact.5;research.p3.ph2.team_cap.5,3,0,0,temporal_invalidation,3,partial,True
T_sem_nli,6,dependency_impact,stack.runtime,stack.runtime,20,0,1,temporal_invalidation,5,partial,True
T_sem_nli,7,semantic_contradiction,research.p3.sem.7.identity,research.p3.sem.7.authn;research.p3.sem.7.identity,3,1,0,temporal_invalidation,3,partial,True
T_sem_nli,8,temporal_invalidation,research.p3.tmpov.8,research.p3.tmpov.8;research.p3.tmpov.8,10,0,0,temporal_invalidation,2,match,True
T_sem_nli,9,constraint_violation,research.p3.ph2.team_fact.9,research.p3.ph2.team_fact.9;research.p3.ph2.team_cap.9,3,0,0,temporal_invalidation,3,partial,True
T_sem_nli,10,dependency_impact,stack.ingest_batch,stack.ingest_batch,23,0,3,temporal_invalidation,4,partial,True
T_sem_nli,11,semantic_contradiction,research.p3.sem.11.persistence,research.p3.sem.11.datastore;research.p3.sem.11.persistence,3,1,0,semantic_contradiction;temporal_invalidation,4,match,True
T_sem_nli,12,temporal_invalidation,research.p3.tmpov.12,research.p3.tmpov.12;research.p3.tmpov.12,10,0,0,temporal_invalidation,2,match,True
T_sem_nli,13,constraint_violation,research.p3.ph2.team_fact.13,research.p3.ph2.team_fact.13;research.p3.ph2.team_cap.13,2,0,0,temporal_invalidation,2,partial,True
T_sem_nli,14,dependency_impact,stack.secrets,stack.secrets,47,0,2,temporal_invalidation,4,partial,True
T_sem_nli,15,semantic_contradiction,research.p3.sem.15.analytics_db,research.p3.sem.15.warehouse;research.p3.sem.15.analytics_db,3,1,0,semantic_contradiction;temporal_invalidation,4,match,True
T_sem_nli,16,temporal_invalidation,research.p3.tmpov.16,research.p3.tmpov.16;research.p3.tmpov.16,5,0,0,temporal_invalidation,1,match,True
T_sem_nli,17,constraint_violation,research.p3.ph2.team_fact.17,research.p3.ph2.team_fact.17;research.p3.ph2.team_cap.17,2,0,0,temporal_invalidation,2,partial,True
T_sem_nli,18,dependency_impact,stack.docs_api,stack.docs_api,17,0,4,temporal_invalidation,4,partial,True
T_sem_nli,19,semantic_contradiction,research.p3.sem.19.workflow,research.p3.sem.19.orchestrator;research.p3.sem.19.workflow,3,1,0,semantic_contradiction;temporal_invalidation,4,match,True
T_sem_nli,20,temporal_invalidation,research.p3.tmpov.20,research.p3.tmpov.20;research.p3.tmpov.20,5,0,0,temporal_invalidation,5,match,True
T_sem_nli,21,constraint_violation,research.p3.ph2.team_fact.21,research.p3.ph2.team_fact.21;research.p3.ph2.team_cap.21,2,0,0,temporal_invalidation,2,partial,True
T_sem_nli,22,dependency_impact,stack.schedule_sla,stack.schedule_sla,22,0,3,temporal_invalidation,4,partial,True
T_sem_nli,23,semantic_contradiction,research.p3.sem.23.events,research.p3.sem.23.queue;research.p3.sem.23.events,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
T_sem_nli,24,temporal_invalidation,research.p3.tmpov.24,research.p3.tmpov.24;research.p3.tmpov.24,7,0,0,temporal_invalidation,1,match,True
T_sem_nli,25,constraint_violation,research.p3.ph2.team_fact.25,research.p3.ph2.team_fact.25;research.p3.ph2.team_cap.25,2,0,0,temporal_invalidation,2,partial,True
T_sem_nli,26,dependency_impact,stack.secrets,stack.secrets,47,0,2,temporal_invalidation,4,partial,True
