profile,injection_number,gold_class,proposal_key,cohort_keys,neo4j_same_key_count,neo4j_neighbor_count,neo4j_inbound_deps,lab_classes,lab_findings_n,coarse_agreement,log_async_detected
Full,1,constraint_violation,research.p3.ph2.team_fact.1,research.p3.ph2.team_fact.1;research.p3.ph2.team_cap.1,3,0,0,constraint_violation;temporal_invalidation,4,match,True
Full,2,dependency_impact,stack.secrets,stack.secrets,47,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,3,semantic_contradiction,research.p3.sem.3.events,research.p3.sem.3.queue;research.p3.sem.3.events,3,1,0,semantic_contradiction;temporal_invalidation,4,match,True
Full,4,temporal_invalidation,research.p3.tmpov.4,research.p3.tmpov.4;research.p3.tmpov.4,15,0,0,temporal_invalidation,2,match,True
Full,5,constraint_violation,research.p3.ph2.team_fact.5,research.p3.ph2.team_fact.5;research.p3.ph2.team_cap.5,3,0,0,constraint_violation;temporal_invalidation,4,match,True
Full,6,dependency_impact,stack.runtime,stack.runtime,20,0,1,dependency_impact;temporal_invalidation,6,match,True
Full,7,semantic_contradiction,research.p3.sem.7.identity,research.p3.sem.7.authn;research.p3.sem.7.identity,3,1,0,temporal_invalidation,3,partial,True
Full,8,temporal_invalidation,research.p3.tmpov.8,research.p3.tmpov.8;research.p3.tmpov.8,10,0,0,temporal_invalidation,2,match,True
Full,9,constraint_violation,research.p3.ph2.team_fact.9,research.p3.ph2.team_fact.9;research.p3.ph2.team_cap.9,3,0,0,constraint_violation;temporal_invalidation,4,match,True
Full,10,dependency_impact,stack.ingest_batch,stack.ingest_batch,23,0,3,dependency_impact;temporal_invalidation,5,match,True
Full,11,semantic_contradiction,research.p3.sem.11.persistence,research.p3.sem.11.datastore;research.p3.sem.11.persistence,3,1,0,semantic_contradiction;temporal_invalidation,4,match,True
Full,12,temporal_invalidation,research.p3.tmpov.12,research.p3.tmpov.12;research.p3.tmpov.12,10,0,0,temporal_invalidation,2,match,True
Full,13,constraint_violation,research.p3.ph2.team_fact.13,research.p3.ph2.team_fact.13;research.p3.ph2.team_cap.13,2,0,0,constraint_violation;temporal_invalidation,3,match,True
